Book
My experiments with Truth
Far from the Madding Crowd
Geetanjali
One Day in the Life of Ivan Denisovitch
The Merchant of venice
The Moon and Six pense
Pilgrim's Progress from this world to that which is to come
A Tale of Two Cities
Utopia
Origin of species
David Copperfield
A passage to India
Gulliver's Travels
Discovery of India
The Vicar of Wakefield
The Decline and Fall of the Roman Empire
The Lady of the Last Minstrel
Pride and Prejudice
Time Machine
Arthashastra
Le Contract Social
Avigyan Sakuntalam
Anand Math
Mein Kampf
Ain-i-Akbari
Akbar-Nama
Shakuntala
War and peace
A Dangerous place
Raghuvamsa
Adventures of Sherlock Holmes
Adventures of Tom Saweyer
Agni Veena
Alice in Wonderland
Ancient Mariner
Animal Farm
Anna Karenina
Antony and Cleopatra
Arms and the Man
Around the World in eighty days
Baburnama
Ben Hur
Bhagwat Gita
Bisarjan
Canterbury Tales
Chitra
Count of Monte Cristo
Crime and Punishment
Das Kapital
Divine Comedy
Dr.Jekyll and Mr.Hyde
Don Quixote
Dr.Zhivago
For whom the Bell Tolls
Forsyte Saga
Freedom at Midnight
Gathering Storm
Geet Govind
Gora
Hamlet
Harsha Charit
Hunchback of Notre Dame
Hungry Stones
Illiad
Invisible Man
Ivanhoe
Jungle Book
Kadambari
Kidnapped
King Lear
Kumar Sambhav
Last Days of Pompeii
Les Miserable
Life Divine
Mahabharata
Man and Superman
Meghdut
Mother
Odyssey
Oliver Twist
Othello
Panchatantra
